Localidad,Ancho,Largo
Tona,3.48,6.18
Tona,3.56,6.28
Tona,3.08,5.76
Tona,3.08,6.00
Tona,3.28,6.20
Tona,3.08,5.90
Tona,3.20,5.60
Tona,3.00,5.04
Tona,2.54,5.18
Tona,3.20,6.32
Tona,3.30,6.40
Tona,2.74,5.18
Tona,3.20,5.36
Tona,3.58,6.00
Tona,3.10,5.96
Tona,3.72,7.24
Tona,3.52,6.98
Tona,3.94,7.70
Tona,3.40,7.10
Tona,2.98,5.88
Tona,4.40,8.22
Tona,3.88,7.74
Tona,3.62,7.42
Tona,4.40,8.76
Tona,3.38,6.66
Tona,2.96,5.76
Tona,2.04,4.92
Tona,2.70,5.26
Tona,3.76,7.12
Tona,3.28,6.22
Tona,3.20,6.40
Tona,3.38,6.54
Tona,3.76,7.82
Tona,4.26,8.14
Tona,3.48,7.36
Socorro,4.82,5.10
Socorro,4.14,4.56
Socorro,4.64,6.12
Socorro,5.84,7.16
Socorro,5.50,7.22
Socorro,5.88,7.62
Socorro,6.28,8.78
Socorro,5.20,6.80
Socorro,7.64,8.70
Socorro,6.44,7.70
Socorro,6.30,8.04
Socorro,5.88,7.96
Socorro,6.08,8.02
Socorro,5.90,7.36
Socorro,6.18,7.24
Socorro,6.34,7.00
Socorro,4.64,6.42
Socorro,4.94,6.50
Socorro,5.20,6.36
Socorro,4.64,5.90
Socorro,5.72,5.34
Socorro,4.68,4.80
Socorro,3.72,4.54
Socorro,2.66,3.16
Socorro,5.18,5.66
Socorro,4.88,5.32
Socorro,4.58,4.88
Socorro,3.46,3.06
Socorro,5.64,6.60
Socorro,4.78,5.70
Bucaramanga,6.36,7.40
Bucaramanga,5.66,7.64
Bucaramanga,7.06,8.26
Bucaramanga,7.78,9.74
Bucaramanga,6.60,7.96
Bucaramanga,6.44,7.86
Bucaramanga,6.58,8.10
Bucaramanga,5.94,7.10
Bucaramanga,7.34,8.82
Bucaramanga,6.88,8.32
Bucaramanga,8.02,8.84
Bucaramanga,8.62,9.82
Bucaramanga,5.50,6.26
Bucaramanga,5.46,6.38
Bucaramanga,5.70,6.16
Bucaramanga,6.96,7.34
Bucaramanga,6.08,6.36
Bucaramanga,8.58,10.04
Bucaramanga,8.18,9.68
Bucaramanga,6.68,7.76
Bucaramanga,6.26,7.44
Bucaramanga,5.58,7.06
Bucaramanga,6.50,9.22
Bucaramanga,6.28,7.10
Bucaramanga,6.96,9.50
Bucaramanga,9.62,12.96
Bucaramanga,6.78,9.18
Bucaramanga,6.36,8.06
Bucaramanga,10.40,14.42
Bucaramanga,9.66,13.62
